ABS,144hQC,144hQCOA
650.420453,-0.023204,-0.008635
652.284122,-0.016884,-0.003057
654.14779,-0.01981,-0.000654
656.011459,-0.011792,0.015133
657.875128,-0.017054,0.008207
659.738797,0.007191,0.026068
661.602466,0.010163,0.033835
663.466135,0.023982,0.048771
665.329804,0.048635,0.069948
667.193473,0.054098,0.078201
669.057142,0.058229,0.087009
670.920811,0.043004,0.071982
672.78448,0.02687,0.06258
674.648149,0.022511,0.061213
676.511817,0.02089,0.055866
678.375486,0.020068,0.05577
680.239155,0.016217,0.053444
682.102824,0.016129,0.053557
683.966493,0.010529,0.049799
685.830162,0.00667,0.045578
687.693831,0.009267,0.046096
689.5575,0.008458,0.047188
691.421169,0.014654,0.055098
693.284838,0.003032,0.046557
695.148507,-0.002363,0.042884
697.012176,0.002626,0.046901
698.875844,0.001285,0.044049
700.739513,0.009905,0.052678
702.603182,0.012259,0.055368
704.466851,0.016436,0.058224
706.33052,0.019562,0.06311
708.194189,0.014991,0.062565
710.057858,0.010202,0.0604
711.921527,0.015392,0.068281
713.785196,0.013549,0.071105
715.648865,0.010845,0.073785
717.512534,0.011586,0.079271
719.376203,0.013174,0.086419
721.239872,0.009596,0.08903
723.10354,0.007435,0.088665
724.967209,0.002887,0.080464
726.830878,0.004831,0.075508
728.694547,0.00666,0.069527
730.558216,0.001494,0.05994
732.421885,0.000932,0.055694
734.285554,-0.002795,0.045759
736.149223,-0.001057,0.042877
738.012892,0.000987,0.041524
739.876561,-0.000976,0.036023
741.74023,0.000877,0.035132
743.603899,0.001869,0.033971
745.467567,0.003575,0.034472
747.331236,0.005211,0.034617
749.194905,0.006677,0.034354
751.058574,0.005214,0.030917
752.922243,0.008531,0.033264
754.785912,0.008605,0.031716
756.649581,0.006651,0.027873
758.51325,0.008261,0.029388
760.376919,0.00851,0.029623
762.240588,0.007582,0.02777
764.104257,0.008087,0.027309
765.967926,0.004395,0.022912
767.831594,0.005669,0.023668
769.695263,0.006658,0.023874
771.558932,0.002609,0.018854
773.422601,0.001237,0.0172
775.28627,0.000925,0.016282
777.149939,0.001848,0.016968
779.013608,0.000763,0.016451
780.877277,0.000795,0.0165
782.740946,0.002721,0.017036
