Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,,1.301,1.251,1.015,1.322,1.253
202,,1.399,1.382,1.109,1.363,1.374
204,,1.378,1.337,1.104,1.408,1.431
206,,1.599,1.491,1.117,1.604,1.563
208,,1.479,1.531,0.973,1.612,1.597
210,,1.739,1.651,0.693,1.659,1.684
212,,1.636,1.526,0.52,1.659,1.639
214,,1.685,1.515,0.339,1.669,1.596
216,,1.639,1.446,0.296,1.768,1.542
218,,1.576,1.362,0.268,1.746,1.493
220,,1.598,1.337,0.264,1.731,1.466
222,,1.575,1.283,0.274,1.742,1.459
224,,1.577,1.24,0.264,1.815,1.439
226,1.74,1.565,1.234,0.276,1.873,1.435
228,1.773,1.571,1.221,0.291,1.853,1.431
230,1.751,1.537,1.185,0.298,1.857,1.39
232,1.705,1.535,1.191,0.292,1.818,1.364
234,1.618,1.469,1.131,0.287,1.736,1.337
236,1.564,1.401,1.083,0.263,1.661,1.271
238,1.559,1.379,1.079,0.234,1.63,1.242
240,1.625,1.39,1.112,0.205,1.659,1.257
242,1.693,1.418,1.143,0.162,1.694,1.265
244,1.784,1.464,1.207,0.14,1.74,1.302
246,1.925,1.548,1.306,0.108,1.851,1.373
248,2.037,1.612,1.389,0.088,1.933,1.43
250,2.114,1.66,1.442,0.074,1.976,1.467
252,2.232,1.728,1.522,0.058,2.082,1.568
254,2.235,1.796,1.599,0.044,2.113,1.593
256,2.199,1.738,1.56,0.041,2.017,1.559
258,2.066,1.573,1.4,0.032,1.935,1.399
260,1.914,1.467,1.301,0.029,1.757,1.301
262,1.793,1.383,1.228,0.031,1.661,1.221
264,1.696,1.3,1.162,0.028,1.566,1.162
266,1.603,1.236,1.101,0.027,1.485,1.095
268,1.526,1.177,1.049,0.025,1.408,1.017
270,1.388,1.062,0.941,0.019,1.274,0.941
272,1.266,0.969,0.864,0.019,1.171,0.862
274,1.136,0.871,0.773,0.015,1.049,0.774
276,0.982,0.757,0.674,0.011,0.91,0.672
278,0.858,0.662,0.591,0.011,0.792,0.586
280,0.78,0.601,0.536,0.007,0.718,0.53
282,0.735,0.567,0.505,0.003,0.678,0.499
284,0.729,0.558,0.497,0.003,0.668,0.489
286,0.74,0.564,0.502,0.001,0.673,0.492
288,0.757,0.574,0.512,-0.001,0.686,0.501
290,0.776,0.588,0.523,-0.004,0.703,0.513
292,0.792,0.598,0.535,-0.005,0.716,0.521
294,0.805,0.604,0.538,-0.006,0.723,0.525
296,0.807,0.605,0.54,-0.009,0.725,0.528
298,0.817,0.612,0.546,-0.009,0.734,0.532
300,0.843,0.616,0.554,-0.011,0.75,0.532
302,0.864,0.625,0.571,-0.013,0.759,0.546
304,0.873,0.633,0.576,-0.014,0.775,0.554
306,0.883,0.64,0.582,-0.015,0.785,0.56
308,0.892,0.646,0.586,-0.015,0.793,0.565
310,0.906,0.656,0.597,-0.018,0.804,0.574
312,0.924,0.668,0.607,-0.016,0.82,0.584
314,0.948,0.688,0.624,-0.017,0.841,0.6
316,0.976,0.708,0.642,-0.016,0.866,0.617
318,1.009,0.732,0.664,-0.016,0.897,0.638
320,1.045,0.761,0.688,-0.016,0.931,0.663
322,1.083,0.787,0.712,-0.016,0.961,0.687
324,1.118,0.815,0.734,-0.014,0.996,0.709
326,1.145,0.834,0.751,-0.016,1.019,0.728
328,1.176,0.856,0.768,-0.014,1.046,0.747
330,1.208,0.88,0.79,-0.016,1.077,0.769
332,1.244,0.906,0.813,-0.016,1.109,0.79
334,1.276,0.933,0.836,-0.019,1.138,0.814
336,1.32,0.968,0.867,-0.017,1.18,0.842
338,1.374,1.01,0.904,-0.016,1.229,0.879
340,1.446,1.061,0.949,-0.016,1.289,0.924
342,1.517,1.116,0.993,-0.016,1.353,0.969
344,1.6,1.183,1.056,-0.016,1.435,1.029
346,1.69,1.249,1.111,-0.013,1.515,1.085
348,1.778,1.319,1.169,-0.012,1.592,1.144
350,1.867,1.389,1.232,-0.013,1.68,1.205
352,1.962,1.467,1.3,-0.012,1.772,1.274
354,2.061,1.544,1.366,-0.012,1.856,1.337
356,2.16,1.62,1.436,-0.012,1.944,1.406
358,2.244,1.696,1.501,-0.012,2.034,1.464
360,2.321,1.752,1.549,-0.011,2.097,1.519
362,2.37,1.801,1.592,-0.011,2.165,1.564
364,2.391,1.826,1.618,-0.012,2.189,1.587
366,2.41,1.84,1.633,-0.009,2.195,1.603
368,2.385,1.829,1.625,-0.009,2.185,1.597
370,2.366,1.818,1.61,-0.009,2.169,1.583
372,2.339,1.796,1.593,-0.011,2.145,1.562
374,2.306,1.762,1.563,-0.008,2.114,1.538
376,2.246,1.731,1.529,-0.009,2.073,1.504
378,2.198,1.673,1.479,-0.01,2.014,1.453
380,2.112,1.606,1.418,-0.01,1.934,1.395
382,2,1.515,1.338,-0.011,1.825,1.315
384,1.845,1.396,1.23,-0.01,1.687,1.212
386,1.671,1.255,1.109,-0.011,1.521,1.092
388,1.456,1.095,0.97,-0.011,1.335,0.956
390,1.232,0.926,0.824,-0.012,1.138,0.807
392,1.03,0.778,0.69,-0.013,0.952,0.675
394,0.852,0.638,0.572,-0.014,0.787,0.557
396,0.687,0.518,0.463,-0.013,0.638,0.446
398,0.54,0.407,0.365,-0.015,0.501,0.352
400,0.413,0.31,0.285,-0.035,0.397,0.266
402,0.312,0.236,0.218,-0.035,0.303,0.2
404,0.232,0.176,0.164,-0.035,0.231,0.147
