ABS,24hQC,24hQCOA,24hQCCALB,24hOACALB,24hS1,24hS2
650.420453,-0.041091,-0.007779,-0.012338,-0.01308,0.001498,-0.02354
652.284122,-0.041188,0.001328,-0.013435,-0.000064,-0.000465,-0.021186
654.14779,-0.038168,0.000497,-0.011245,-0.003616,-0.007652,-0.018134
656.011459,-0.01947,0.012884,0.005248,0.007664,0.008856,-0.003727
657.875128,-0.01953,0.012011,0.000225,0.002267,0.007415,-0.005975
659.738797,-0.000938,0.037113,0.018768,0.023059,0.026457,0.017525
661.602466,-0.006129,0.035874,0.020124,0.028427,0.030477,0.019033
663.466135,0.011785,0.0518,0.038329,0.047154,0.048299,0.03776
665.329804,0.03631,0.077838,0.062015,0.072097,0.07436,0.064411
667.193473,0.036186,0.083743,0.058869,0.074074,0.078478,0.065693
669.057142,0.029088,0.079742,0.051786,0.067257,0.077153,0.057861
670.920811,0.023531,0.070445,0.047207,0.058557,0.067507,0.049133
672.78448,0.017411,0.066164,0.040694,0.055229,0.060608,0.045268
674.648149,0.014157,0.065996,0.039855,0.058008,0.062491,0.045034
676.511817,0.014039,0.064286,0.0396,0.056426,0.060847,0.042816
678.375486,0.012892,0.063936,0.037635,0.053541,0.058439,0.042119
680.239155,0.010922,0.063381,0.03394,0.052988,0.05767,0.042878
682.102824,0.010461,0.059918,0.032444,0.053233,0.059016,0.040665
683.966493,0.004755,0.055028,0.025312,0.047139,0.05474,0.033681
685.830162,-0.000929,0.053626,0.018434,0.043668,0.050789,0.030913
687.693831,0.001931,0.057052,0.018845,0.048829,0.054657,0.033205
689.5575,-0.000873,0.058706,0.017735,0.046543,0.054501,0.031039
691.421169,0.004517,0.067294,0.025398,0.051165,0.060097,0.038818
693.284838,-0.003892,0.057148,0.01698,0.04498,0.050296,0.031379
695.148507,-0.008325,0.051353,0.012542,0.044523,0.047412,0.027385
697.012176,-0.003097,0.056808,0.016691,0.050594,0.05438,0.032759
698.875844,-0.002442,0.056962,0.014964,0.048623,0.053507,0.031683
700.739513,0.008927,0.067498,0.022796,0.056437,0.059008,0.039313
702.603182,0.012691,0.071746,0.021554,0.057809,0.059451,0.040365
704.466851,0.014785,0.075556,0.022316,0.061239,0.065552,0.044474
706.33052,0.017217,0.079963,0.028397,0.067505,0.075071,0.050507
708.194189,0.011978,0.077896,0.030509,0.069207,0.079951,0.050752
710.057858,0.007686,0.074528,0.02801,0.069018,0.080907,0.051401
711.921527,0.012961,0.081186,0.031301,0.077575,0.08686,0.0606
713.785196,0.011397,0.082765,0.029986,0.079342,0.08635,0.062095
715.648865,0.00905,0.085098,0.029053,0.082299,0.089376,0.061794
717.512534,0.008573,0.092011,0.027719,0.090489,0.095804,0.0646
719.376203,0.009945,0.101483,0.027705,0.098582,0.103167,0.07146
721.239872,0.009116,0.105621,0.026187,0.101682,0.105892,0.074256
723.10354,0.00897,0.106217,0.026348,0.10264,0.105268,0.073797
724.967209,0.003692,0.096316,0.021331,0.092942,0.095158,0.066143
726.830878,0.004416,0.08925,0.022702,0.08613,0.090163,0.063839
728.694547,0.005981,0.084069,0.023689,0.080104,0.084529,0.059992
730.558216,0.000883,0.072703,0.018593,0.068692,0.071953,0.04954
732.421885,0.00104,0.067803,0.018887,0.062615,0.06687,0.045776
734.285554,-0.00328,0.05901,0.014372,0.051982,0.057487,0.038241
736.149223,-0.000923,0.054625,0.014861,0.04802,0.053355,0.035107
738.012892,0.000855,0.051768,0.015705,0.045437,0.051401,0.033795
739.876561,-0.002216,0.046646,0.013113,0.039248,0.044905,0.029271
741.74023,-0.000369,0.044868,0.014275,0.037182,0.042221,0.028353
743.603899,0.001069,0.044211,0.015483,0.035967,0.040363,0.027506
745.467567,0.003601,0.044963,0.017875,0.036485,0.0398,0.027633
747.331236,0.006554,0.045167,0.018399,0.035729,0.039261,0.027618
749.194905,0.008356,0.045738,0.019293,0.034967,0.039456,0.028347
751.058574,0.00693,0.042564,0.018611,0.030957,0.036634,0.024966
752.922243,0.010305,0.043939,0.022667,0.03248,0.039303,0.026802
754.785912,0.009654,0.042208,0.021887,0.03111,0.037935,0.025716
756.649581,0.00669,0.039609,0.018819,0.028192,0.033579,0.022507
758.51325,0.008197,0.040811,0.01959,0.029167,0.03394,0.023491
760.376919,0.009093,0.040385,0.019578,0.029245,0.034259,0.024513
762.240588,0.007996,0.038419,0.018592,0.028177,0.033782,0.023434
764.104257,0.008171,0.038107,0.019399,0.028729,0.033595,0.023436
765.967926,0.004553,0.034425,0.016428,0.025037,0.029357,0.019658
767.831594,0.005407,0.03472,0.017704,0.024967,0.030347,0.020348
769.695263,0.006155,0.034171,0.018539,0.024958,0.030596,0.020474
771.558932,0.002055,0.029507,0.014957,0.021244,0.026317,0.016019
773.422601,0.00122,0.027802,0.014655,0.020534,0.025368,0.015523
775.28627,0.000019,0.026183,0.014783,0.019756,0.024508,0.014801
777.149939,-0.000037,0.026134,0.016097,0.020134,0.024753,0.014739
779.013608,-0.000748,0.025323,0.015832,0.019328,0.024106,0.014506
780.877277,-0.000346,0.025974,0.01641,0.018721,0.024259,0.014944
782.740946,0.000436,0.027013,0.017354,0.018342,0.025543,0.015555
784.604615,0.003636,0.031291,0.02036,0.019593,0.027754,0.018102
786.468284,0.010064,0.039199,0.022946,0.021763,0.030197,0.020274
788.331953,0.014914,0.044774,0.02144,0.021413,0.029974,0.019006
790.195621,0.017159,0.04601,0.02182,0.023065,0.030944,0.020162
792.05929,0.013886,0.040905,0.020908,0.023129,0.030393,0.02015
793.922959,0.01337,0.038664,0.022693,0.025259,0.032362,0.022089
795.786628,0.012866,0.037852,0.024379,0.026514,0.033616,0.023715
797.650297,0.010725,0.036078,0.024238,0.025084,0.032496,0.022917
799.513966,0.011557,0.037094,0.026024,0.025187,0.03264,0.022791
801.377635,0.013224,0.038903,0.028977,0.027083,0.034145,0.024021
803.241304,0.011682,0.037687,0.028842,0.026215,0.033267,0.022763
805.104973,0.01066,0.036611,0.029754,0.02578,0.033322,0.022274
806.968642,0.008939,0.034583,0.030622,0.025259,0.033307,0.021806
808.832311,0.007484,0.032942,0.032622,0.025545,0.03403,0.02267
810.69598,0.006024,0.03153,0.03438,0.024915,0.03412,0.023127
812.559649,0.004735,0.029786,0.035517,0.023749,0.033494,0.022649
814.423317,0.003357,0.027893,0.035836,0.022411,0.032586,0.02165
816.286986,0.003811,0.028905,0.037111,0.023033,0.033038,0.022298
818.150655,0.005265,0.031507,0.039142,0.024269,0.03398,0.02336
820.014324,0.006352,0.033768,0.040272,0.024762,0.034538,0.023498
821.877993,0.008624,0.036907,0.04142,0.026554,0.035833,0.024948
823.741662,0.006835,0.035588,0.03935,0.025119,0.034232,0.023011
825.605331,0.007192,0.036001,0.040613,0.027052,0.035808,0.023722
827.469,0.007543,0.036324,0.042543,0.029572,0.037622,0.025537
829.332669,0.005657,0.034299,0.042334,0.02984,0.037586,0.025835
831.196338,0.005131,0.034037,0.04339,0.031386,0.039123,0.026996
833.060007,0.004422,0.033686,0.04366,0.031809,0.039784,0.026981
834.923676,0.004416,0.033985,0.045194,0.033166,0.041382,0.028678
836.787344,0.00313,0.033332,0.046027,0.034164,0.042567,0.029483
838.651013,0.002525,0.033973,0.047272,0.035902,0.044936,0.031427
840.514682,0.002008,0.034394,0.047892,0.036878,0.046694,0.033344
842.378351,0.001408,0.033713,0.047716,0.037049,0.047098,0.033603
844.24202,0.000648,0.0325,0.046024,0.036488,0.045951,0.032331
846.105689,0.001575,0.033953,0.045272,0.03795,0.045997,0.03263
847.969358,0.001495,0.035205,0.042732,0.038299,0.04487,0.031481
849.833027,0.000184,0.034061,0.038602,0.037599,0.04266,0.029076
851.696696,-0.002497,0.030721,0.034165,0.036001,0.039615,0.026486
853.560365,-0.002986,0.029718,0.032387,0.036545,0.039545,0.02647
855.424034,-0.003416,0.029049,0.03062,0.036522,0.039761,0.026272
857.287703,-0.00475,0.027847,0.028356,0.035672,0.038888,0.025602
859.151371,-0.006262,0.026799,0.025818,0.034463,0.037173,0.02415
861.01504,-0.006489,0.026842,0.0251,0.034293,0.036438,0.023394
862.878709,-0.005065,0.028392,0.026153,0.035174,0.037671,0.024338
864.742378,-0.005072,0.029167,0.026061,0.035054,0.037646,0.024398
866.606047,-0.00494,0.030168,0.026174,0.03508,0.037496,0.02474
868.469716,-0.004632,0.030998,0.026282,0.034645,0.037501,0.024781
870.333385,-0.004716,0.031574,0.026217,0.033937,0.03757,0.024218
872.197054,-0.003689,0.033645,0.02728,0.034597,0.038328,0.02516
874.060723,-0.00214,0.036716,0.029062,0.035362,0.039137,0.026418
875.924392,-0.001224,0.039316,0.030444,0.035006,0.039318,0.026407
877.788061,0.000348,0.042381,0.031599,0.034244,0.038972,0.025955
879.65173,0.003435,0.045789,0.034743,0.035489,0.04035,0.027521
881.515399,0.003933,0.04543,0.03782,0.036906,0.041602,0.028708
883.379067,0.002037,0.043947,0.039309,0.037317,0.041871,0.028734
885.242736,-0.000332,0.042683,0.038823,0.036882,0.041415,0.028119
887.106405,-0.001785,0.042362,0.037758,0.037543,0.041941,0.028622
888.970074,-0.002494,0.043281,0.036276,0.03869,0.042839,0.029616
890.833743,-0.003171,0.04433,0.033233,0.039055,0.042864,0.029425
892.697412,-0.004494,0.044223,0.028777,0.038357,0.041703,0.028068
894.561081,-0.004875,0.044783,0.025408,0.03834,0.04156,0.027991
896.42475,-0.005529,0.0456,0.022307,0.038237,0.041544,0.027741
898.288419,-0.005782,0.047593,0.020917,0.03921,0.042308,0.02826
900.152088,-0.006605,0.048464,0.019385,0.039527,0.042497,0.028246
902.015757,-0.006976,0.049563,0.01862,0.040403,0.043724,0.028726
903.879426,-0.00677,0.051139,0.018735,0.041728,0.045202,0.029654
905.743094,-0.006681,0.052841,0.019725,0.042976,0.0466,0.030791
907.606763,-0.006065,0.05556,0.021579,0.044795,0.04875,0.032511
909.470432,-0.006313,0.057511,0.022678,0.046166,0.050038,0.033471
911.334101,-0.006029,0.059317,0.024062,0.047911,0.051722,0.034725
913.19777,-0.005652,0.061683,0.025674,0.049591,0.053374,0.036139
915.061439,-0.005359,0.064397,0.027405,0.051161,0.054911,0.037467
916.925108,-0.004892,0.06711,0.029109,0.052835,0.056817,0.038795
918.788777,-0.004539,0.069595,0.030326,0.054295,0.05842,0.039951
920.652446,-0.003982,0.072296,0.031826,0.055782,0.059982,0.04135
922.516115,-0.003213,0.075304,0.033788,0.057235,0.061725,0.042803
924.379784,-0.002031,0.078831,0.036175,0.058954,0.063958,0.044324
926.243453,-0.000142,0.083,0.039215,0.060582,0.066434,0.046249
928.107121,0.002108,0.087485,0.042659,0.062127,0.068575,0.048214
929.97079,0.004223,0.091698,0.045593,0.063157,0.069451,0.049131
931.834459,0.006332,0.094817,0.047891,0.064576,0.070574,0.049979
933.698128,0.006183,0.094465,0.048565,0.065036,0.07094,0.05008
935.561797,0.004706,0.092146,0.049485,0.065859,0.071339,0.050535
937.425466,0.002097,0.088002,0.049941,0.066054,0.070857,0.050174
939.289135,-0.000224,0.083984,0.050626,0.066059,0.070472,0.05004
941.152804,-0.002619,0.079749,0.050406,0.065004,0.069137,0.049026
943.016473,-0.003591,0.076743,0.051191,0.064742,0.068778,0.048674
944.880142,-0.004292,0.073933,0.051963,0.064121,0.068084,0.048135
946.743811,-0.005373,0.070417,0.05159,0.062511,0.066156,0.046849
948.60748,-0.005848,0.06668,0.05069,0.060754,0.064273,0.045553
950.471148,-0.006318,0.0627,0.048905,0.058682,0.062069,0.043904
952.334817,-0.006063,0.059681,0.046732,0.056652,0.059745,0.042241
954.198486,-0.0061,0.056484,0.0428,0.053878,0.056768,0.039901
956.062155,-0.006239,0.053184,0.038094,0.051087,0.053451,0.037453
957.925824,-0.006578,0.049745,0.033062,0.048148,0.050053,0.034839
959.789493,-0.006707,0.046937,0.028131,0.045391,0.047172,0.032373
961.653162,-0.006081,0.045417,0.024504,0.043752,0.045417,0.030945
963.516831,-0.006176,0.043274,0.020953,0.041523,0.043058,0.029152
965.3805,-0.005664,0.041537,0.018597,0.039868,0.041157,0.02801
967.244169,-0.005313,0.039643,0.016777,0.038052,0.039096,0.026658
969.107838,-0.00543,0.037313,0.015143,0.035747,0.036723,0.024882
970.971507,-0.005747,0.034632,0.013738,0.032992,0.034042,0.022754
972.835176,-0.005634,0.032245,0.013306,0.030712,0.031794,0.021109
974.698844,-0.005381,0.030198,0.013497,0.028997,0.029962,0.019806
976.562513,-0.005351,0.028419,0.013772,0.027439,0.028367,0.018485
978.426182,-0.005832,0.026359,0.013677,0.025643,0.026571,0.017005
980.289851,-0.00607,0.024858,0.014236,0.024675,0.025432,0.016232
982.15352,-0.006468,0.023444,0.014896,0.023763,0.02449,0.015368
984.017189,-0.005865,0.023037,0.0165,0.023683,0.024631,0.015462
985.880858,-0.00566,0.022291,0.017747,0.023116,0.024356,0.015208
987.744527,-0.005843,0.021594,0.019208,0.022546,0.023917,0.014972
989.608196,-0.005311,0.021766,0.021874,0.022459,0.024189,0.015511
991.471865,-0.004224,0.022056,0.025436,0.02196,0.024978,0.016258
993.335534,-0.002809,0.022352,0.029475,0.020887,0.025774,0.016995
995.199203,-0.000525,0.024423,0.032942,0.020458,0.02665,0.017866
997.062871,0.002522,0.028474,0.033658,0.02056,0.02676,0.018139
998.92654,0.004686,0.032212,0.031887,0.020296,0.025585,0.017168
1000.790209,0.004918,0.032616,0.031681,0.020146,0.025117,0.016641
1002.653878,0.003438,0.028823,0.035077,0.020225,0.026304,0.017742
1004.517547,0.002548,0.02573,0.039905,0.020243,0.028225,0.019436
1006.381216,0.004422,0.027271,0.042848,0.021066,0.029906,0.021107
1008.244885,0.006828,0.030226,0.040759,0.02156,0.029149,0.020704
1010.108554,0.007164,0.031051,0.036232,0.022009,0.027228,0.018989
1011.972223,0.004192,0.027566,0.032546,0.022153,0.025339,0.017051
1013.835892,0.000144,0.022255,0.031736,0.022567,0.024441,0.016163
1015.699561,-0.002679,0.018564,0.03326,0.023227,0.024572,0.016318
1017.56323,-0.004494,0.016253,0.035378,0.023538,0.024737,0.016299
1019.426898,-0.005622,0.014795,0.038165,0.023708,0.024984,0.016216
1021.290567,-0.00578,0.014296,0.042101,0.024635,0.026022,0.016839
1023.154236,-0.005859,0.013977,0.046334,0.025677,0.027184,0.017601
1025.017905,-0.005852,0.013948,0.051021,0.026952,0.028567,0.018736
1026.881574,-0.00626,0.013294,0.055045,0.027661,0.029136,0.019177
1028.745243,-0.006341,0.013052,0.058887,0.028479,0.029932,0.019809
1030.608912,-0.006058,0.013358,0.062647,0.029617,0.031213,0.020819
1032.472581,-0.005494,0.013932,0.066241,0.031123,0.032808,0.022181
1034.33625,-0.005931,0.013328,0.067973,0.031567,0.033263,0.022333
1036.199919,-0.006288,0.012847,0.069041,0.031829,0.033436,0.022439
1038.063588,-0.006026,0.013059,0.070325,0.032345,0.033923,0.023155
1039.927257,-0.006217,0.012621,0.070919,0.032609,0.03408,0.023226
1041.790926,-0.006026,0.012723,0.071792,0.033131,0.034454,0.023385
1043.654594,-0.005821,0.013061,0.07331,0.033306,0.034689,0.023578
1045.518263,-0.005873,0.013082,0.075505,0.033138,0.034759,0.023716
1047.381932,-0.005266,0.013673,0.079351,0.033642,0.035489,0.024504
1049.245601,-0.004865,0.01398,0.08446,0.033749,0.03581,0.024969
1051.10927,-0.004613,0.014226,0.091313,0.033825,0.036237,0.025577
1052.972939,-0.004702,0.0143,0.099215,0.033789,0.036699,0.02615
1054.836608,-0.004806,0.014344,0.108247,0.034031,0.037332,0.026852
1056.700277,-0.004696,0.014452,0.117947,0.034743,0.038456,0.027855
1058.563946,-0.004759,0.014403,0.127685,0.035648,0.039705,0.028836
1060.427615,-0.004983,0.014133,0.13715,0.036654,0.04092,0.029861
1062.291284,-0.004861,0.014435,0.146667,0.038345,0.04304,0.031613
1064.154953,-0.004783,0.014592,0.15486,0.039755,0.044905,0.033112
1066.018621,-0.004633,0.014709,0.161622,0.041323,0.046669,0.034821
1067.88229,-0.004567,0.014895,0.166823,0.043049,0.048642,0.036547
1069.745959,-0.004592,0.015196,0.170881,0.045026,0.051015,0.038129
1071.609628,-0.004779,0.015751,0.173605,0.047437,0.053484,0.039875
1073.473297,-0.004441,0.016958,0.176307,0.050736,0.056911,0.042588
1075.336966,-0.004465,0.01796,0.179264,0.054087,0.060682,0.045312
