ABS,QC,QCOA,QCCALB,OACALB,S1,S2
650.420453,-0.043597,0.012081,-0.030971,-0.010558,-0.016834,-0.019994
652.284122,-0.03106,0.01704,-0.02993,-0.007843,-0.012623,-0.017904
654.14779,-0.021758,0.019781,-0.028492,-0.013411,-0.010946,-0.016617
656.011459,-0.006455,0.031482,-0.006051,0.006912,0.001067,-0.005362
657.875128,-0.013461,0.031621,-0.001377,0.007439,0.003498,-0.010244
659.738797,0.009814,0.054899,0.011732,0.029115,0.027026,0.012357
661.602466,0.018487,0.05641,0.002585,0.03253,0.02538,0.016394
663.466135,0.035924,0.073372,0.017425,0.043416,0.043205,0.037849
665.329804,0.053473,0.092854,0.042825,0.063489,0.065943,0.060429
667.193473,0.054609,0.09488,0.044801,0.07042,0.063307,0.060025
669.057142,0.047189,0.090979,0.030316,0.06883,0.057788,0.053692
670.920811,0.044469,0.089591,0.02651,0.062474,0.056256,0.046069
672.78448,0.040509,0.091846,0.028332,0.054543,0.051243,0.044507
674.648149,0.034462,0.090316,0.031639,0.052378,0.047887,0.048081
676.511817,0.02819,0.08542,0.028131,0.055085,0.046898,0.045993
678.375486,0.024316,0.086819,0.019211,0.056638,0.048769,0.043609
680.239155,0.026357,0.086785,0.018187,0.053675,0.048444,0.042685
682.102824,0.025833,0.084256,0.020867,0.050996,0.044799,0.041038
683.966493,0.01554,0.080979,0.017636,0.047275,0.038733,0.03654
685.830162,0.009411,0.074637,0.008902,0.044084,0.037503,0.031872
687.693831,0.015597,0.073423,0.006788,0.044946,0.040728,0.035029
689.5575,0.015264,0.072117,0.003495,0.04335,0.038217,0.033164
691.421169,0.022403,0.081318,0.013135,0.050667,0.045068,0.040668
693.284838,0.014026,0.071854,0.007618,0.043002,0.037654,0.031377
695.148507,0.012137,0.068029,0.002816,0.04227,0.034497,0.029009
697.012176,0.018482,0.074247,0.005475,0.045568,0.040206,0.035651
698.875844,0.018503,0.075006,0.006094,0.045194,0.039644,0.034211
700.739513,0.026988,0.084051,0.013885,0.054814,0.045918,0.041723
702.603182,0.026219,0.08439,0.01161,0.055181,0.045832,0.042817
704.466851,0.02302,0.086692,0.010531,0.057116,0.049006,0.046422
706.33052,0.025495,0.091768,0.015698,0.065235,0.057112,0.053596
708.194189,0.022346,0.090093,0.017781,0.068416,0.059099,0.054956
710.057858,0.018911,0.088573,0.01711,0.068102,0.058667,0.05382
711.921527,0.022002,0.095079,0.021854,0.073915,0.067027,0.0588
713.785196,0.02015,0.097711,0.01986,0.076458,0.068562,0.059117
715.648865,0.020943,0.101005,0.016556,0.079714,0.067911,0.061693
717.512534,0.023674,0.110045,0.016502,0.084989,0.073287,0.065756
719.376203,0.027213,0.122843,0.017888,0.092907,0.081662,0.071636
721.239872,0.028461,0.127547,0.015125,0.097149,0.084604,0.07574
723.10354,0.027864,0.124994,0.014129,0.096284,0.086078,0.076031
724.967209,0.02276,0.115366,0.010993,0.086572,0.078627,0.066901
726.830878,0.023381,0.108577,0.014056,0.082076,0.073785,0.06306
728.694547,0.024113,0.10198,0.015074,0.077543,0.069643,0.06044
730.558216,0.016085,0.089529,0.007005,0.06632,0.059763,0.051325
732.421885,0.015323,0.082464,0.007271,0.06108,0.05525,0.047026
734.285554,0.01081,0.071368,0.004977,0.052263,0.046406,0.038883
736.149223,0.011884,0.068203,0.007023,0.048495,0.043839,0.038364
738.012892,0.013433,0.066244,0.008536,0.045777,0.041037,0.036708
739.876561,0.010515,0.05955,0.004292,0.039929,0.034711,0.029692
741.74023,0.010448,0.057643,0.004457,0.037456,0.033733,0.028483
743.603899,0.011684,0.055602,0.006418,0.035822,0.033211,0.027407
745.467567,0.013576,0.054496,0.008724,0.036056,0.032744,0.026992
747.331236,0.015207,0.054929,0.010793,0.035968,0.034203,0.028228
749.194905,0.016446,0.054403,0.012143,0.035683,0.035552,0.029184
751.058574,0.015062,0.050037,0.011002,0.032673,0.030964,0.025604
752.922243,0.018624,0.051867,0.013846,0.034048,0.031939,0.027228
754.785912,0.01823,0.051338,0.013217,0.033337,0.03171,0.027228
756.649581,0.015297,0.048324,0.01072,0.030677,0.028687,0.024886
758.51325,0.017209,0.050431,0.011811,0.031516,0.029563,0.025657
760.376919,0.017673,0.050344,0.011733,0.03119,0.0296,0.025177
762.240588,0.01719,0.048551,0.011811,0.029797,0.02799,0.024423
764.104257,0.017605,0.048363,0.012166,0.030098,0.028273,0.02412
765.967926,0.013964,0.044461,0.008293,0.026573,0.024969,0.019774
767.831594,0.013932,0.04485,0.009686,0.027098,0.02516,0.020512
769.695263,0.014556,0.045424,0.011083,0.027197,0.025071,0.021105
771.558932,0.01164,0.041262,0.007212,0.023227,0.021078,0.017196
773.422601,0.011643,0.040313,0.006441,0.022809,0.020514,0.016405
775.28627,0.011289,0.03933,0.005345,0.0214,0.019472,0.015764
777.149939,0.012514,0.040378,0.006529,0.021234,0.019673,0.016636
779.013608,0.012587,0.040295,0.006968,0.020563,0.01955,0.016102
780.877277,0.014038,0.041631,0.007738,0.021147,0.020094,0.016283
782.740946,0.015069,0.043524,0.006987,0.021978,0.020107,0.017116
784.604615,0.016448,0.046156,0.007814,0.022536,0.022069,0.019207
786.468284,0.017434,0.047996,0.010724,0.022784,0.024234,0.021177
788.331953,0.017664,0.048487,0.011319,0.02263,0.02342,0.020562
790.195621,0.02175,0.05196,0.012195,0.024284,0.024815,0.021702
792.05929,0.023729,0.053349,0.011693,0.024762,0.025052,0.021204
793.922959,0.026252,0.054953,0.013166,0.027434,0.027029,0.022993
795.786628,0.025849,0.054467,0.014053,0.028187,0.028141,0.024409
797.650297,0.02176,0.050841,0.012496,0.025957,0.026076,0.022618
799.513966,0.020872,0.050392,0.013548,0.026669,0.026219,0.022653
801.377635,0.021256,0.051876,0.015401,0.028994,0.028446,0.024676
803.241304,0.018904,0.050286,0.014227,0.027876,0.027747,0.023569
805.104973,0.018581,0.048835,0.014421,0.027092,0.027136,0.023457
806.968642,0.018892,0.047233,0.014664,0.026416,0.026525,0.023551
808.832311,0.019143,0.046687,0.015072,0.026739,0.027,0.024034
810.69598,0.019617,0.047689,0.015942,0.02644,0.02709,0.024259
812.559649,0.020368,0.048497,0.016177,0.025689,0.026732,0.023695
814.423317,0.021587,0.049099,0.015398,0.024644,0.025838,0.022739
816.286986,0.02383,0.051387,0.016683,0.02518,0.026841,0.023575
818.150655,0.026895,0.054076,0.018217,0.025908,0.028051,0.02482
820.014324,0.028599,0.055275,0.018268,0.02591,0.028453,0.025081
821.877993,0.030528,0.057794,0.020125,0.027524,0.030262,0.026214
823.741662,0.028301,0.05645,0.01863,0.026474,0.028268,0.024426
825.605331,0.02739,0.055657,0.019697,0.029058,0.029494,0.026119
827.469,0.023274,0.052092,0.020124,0.031626,0.031419,0.027964
829.332669,0.016305,0.046137,0.01972,0.031882,0.031104,0.027686
831.196338,0.012448,0.043363,0.021128,0.033551,0.031819,0.0286
833.060007,0.010123,0.042346,0.021353,0.034658,0.032413,0.028819
834.923676,0.010213,0.04324,0.022272,0.035825,0.03437,0.030144
836.787344,0.01102,0.04489,0.022408,0.03652,0.035639,0.031577
