Lambda,QCCALBOA,QCCALBOA,QCTLIMOA,QCTLIMOA,QCCALB,QCTLIM
200,1.193,1.187,1.217,1.183,1.256,1.288
202,1.336,1.338,1.3,1.278,1.465,1.265
204,1.4,1.35,1.402,1.396,1.535,1.502
206,1.396,1.487,1.533,1.492,1.56,1.557
208,1.599,1.54,1.547,1.589,1.742,1.726
210,1.643,1.648,1.635,1.639,1.713,1.705
212,1.647,1.603,1.688,1.695,1.775,1.693
214,1.674,1.748,1.885,1.771,1.769,1.804
216,1.66,1.735,1.762,1.769,1.949,1.894
218,1.703,1.746,1.765,1.756,2.081,1.865
220,1.767,1.803,1.869,1.918,2.022,1.979
222,1.811,1.829,1.943,1.901,2.133,2.059
224,1.866,1.894,1.976,1.853,2.24,2.192
226,1.924,1.903,2.14,2.022,2.438,2.384
228,1.957,1.975,2.22,2.135,2.638,2.57
230,1.936,2.017,2.303,2.129,2.952,
232,1.851,1.943,2.232,2.072,2.847,2.833
234,1.769,1.899,2.135,2.026,2.795,2.896
236,1.663,1.79,2.048,1.91,2.881,2.86
238,1.627,1.725,1.996,1.828,2.732,2.561
240,1.59,1.676,1.928,1.801,2.705,2.818
242,1.588,1.644,1.891,1.78,,2.953
244,1.582,1.642,1.881,1.774,2.902,2.827
246,1.583,1.643,1.875,1.779,2.975,
248,1.597,1.651,1.87,1.793,,
250,1.655,1.668,1.884,1.808,2.964,
252,1.675,1.693,1.875,1.831,2.892,
254,1.629,1.737,1.938,1.872,2.843,2.89
256,1.518,1.699,1.868,1.835,2.735,2.815
258,1.381,1.583,1.756,1.708,2.759,2.845
260,1.309,1.447,1.592,1.566,2.998,2.979
262,1.261,1.369,1.513,1.478,2.873,2.921
264,1.196,1.308,1.449,1.406,2.89,2.722
266,1.148,1.243,1.372,1.334,2.794,
268,1.043,1.194,1.321,1.283,2.945,2.827
270,0.969,1.086,1.204,1.168,2.792,
272,0.884,1.009,1.118,1.079,2.903,2.842
274,0.775,0.921,1.016,0.985,2.768,2.847
276,0.686,0.809,0.894,0.861,2.632,2.803
278,0.626,0.703,0.786,0.756,2.474,2.7
280,0.504,0.647,0.718,0.692,2.396,2.52
282,0.568,0.603,0.673,0.646,2.271,2.469
284,0.563,0.588,0.657,0.63,2.251,2.453
286,0.564,0.581,0.652,0.629,2.265,2.46
288,0.567,0.579,0.653,0.632,2.322,2.488
290,0.569,0.585,0.653,0.64,2.374,2.546
292,0.567,0.585,0.653,0.642,2.416,2.585
294,0.562,0.582,0.653,0.644,2.463,2.631
296,0.56,0.578,0.653,0.64,2.497,2.666
298,0.555,0.58,0.663,0.643,2.516,2.719
300,0.558,0.579,0.663,0.646,2.501,2.696
302,0.57,0.589,0.676,0.659,2.512,2.714
304,0.573,0.595,0.681,0.664,2.545,2.733
306,0.578,0.597,0.685,0.669,2.556,2.758
308,0.585,0.603,0.69,0.676,2.594,2.836
310,0.593,0.611,0.699,0.682,2.614,2.79
312,0.607,0.619,0.708,0.694,2.686,2.873
314,0.625,0.634,0.726,0.709,2.658,2.885
316,0.646,0.654,0.745,0.729,2.747,2.915
318,0.67,0.676,0.768,0.754,2.829,2.923
320,0.693,0.7,0.796,0.781,2.805,2.84
322,0.713,0.725,0.822,0.807,2.877,2.918
324,0.732,0.749,0.85,0.833,2.936,2.874
326,0.751,0.766,0.871,0.853,2.875,
328,0.771,0.786,0.89,0.873,,2.955
330,0.793,0.805,0.914,0.9,2.898,2.938
332,0.815,0.832,0.939,0.926,2.963,
334,0.841,0.852,0.969,0.951,,
336,0.878,0.882,0.998,0.984,2.934,
338,0.92,0.919,1.041,1.022,,2.991
340,0.968,0.965,1.092,1.073,,
342,1.024,1.017,1.147,1.127,,
344,1.084,1.076,1.213,1.192,,
346,1.14,1.135,1.282,1.262,,
348,1.203,1.198,1.351,1.329,,
350,1.267,1.257,1.421,1.398,,
352,1.336,1.331,1.498,1.476,2.998,
354,1.401,1.4,1.574,1.551,,
356,1.466,1.469,1.657,1.632,,
358,1.521,1.531,1.729,1.707,,
360,1.564,1.597,1.794,1.766,2.989,
362,1.589,1.643,1.85,1.826,2.955,
364,1.607,1.671,1.872,1.843,2.936,
366,1.603,1.689,1.889,1.858,2.998,2.985
368,1.59,1.674,1.877,1.856,,2.961
370,1.571,1.672,1.869,1.847,2.995,2.984
372,1.544,1.651,1.845,1.821,,2.983
374,1.511,1.621,1.812,1.794,,
376,1.465,1.59,1.779,1.75,,
378,1.407,1.539,1.722,1.7,,
380,1.33,1.483,1.657,1.643,2.995,2.969
382,1.231,1.402,1.564,1.549,2.959,2.975
384,1.109,1.296,1.451,1.435,2.948,2.942
386,0.974,1.171,1.31,1.294,2.944,2.992
388,0.824,1.027,1.152,1.137,2.926,2.935
390,0.688,0.87,0.973,0.964,2.9,2.936
392,0.569,0.731,0.814,0.806,2.709,2.829
394,0.456,0.599,0.672,0.667,2.416,2.561
396,0.355,0.48,0.543,0.538,2.011,2.174
398,0.277,0.379,0.426,0.42,1.603,1.774
400,0.206,,0.336,0.325,1.286,1.016
402,0.153,,0.251,0.242,0.986,0.781
404,0.109,,0.188,0.18,0.759,0.598
406,0.074,,0.135,0.127,0.566,0.449
408,0.047,,0.092,0.088,0.409,0.324
410,0.027,,0.06,0.056,0.287,0.226
412,0.013,,0.035,0.032,0.192,0.153
414,0.003,,0.019,0.016,0.13,0.103
416,-0.002,,0.007,0.005,0.086,0.069
418,-0.007,,0.001,-0.002,0.058,0.047
420,-0.009,,-0.004,-0.006,0.042,0.035
422,-0.011,,-0.007,-0.009,0.03,0.025
424,-0.012,,-0.009,-0.011,0.022,0.019
426,-0.013,,-0.011,-0.012,0.017,0.014
428,-0.015,,-0.011,-0.012,0.013,0.011
430,-0.014,,-0.013,-0.014,0.008,0.008
432,-0.015,,-0.014,-0.015,0.005,0.005
