Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,1.291,1.253,1.296,0.922,1.235,1.187
202,1.338,1.326,1.322,1.059,1.291,1.261
204,1.352,1.54,1.406,1.103,1.259,1.351
206,1.478,1.519,1.414,1.064,1.47,1.45
208,1.551,1.531,1.561,0.89,1.471,1.429
210,1.67,1.558,1.55,0.67,1.562,1.649
212,1.548,1.756,1.619,0.446,1.541,1.513
214,1.501,1.71,1.623,0.355,1.484,1.438
216,1.471,1.618,1.641,0.268,1.438,1.412
218,1.386,1.56,1.535,0.233,1.363,1.284
220,1.355,1.534,1.6,0.245,1.301,1.279
222,1.321,1.555,1.559,0.256,1.302,1.219
224,1.276,1.542,1.575,0.266,1.279,1.213
226,1.248,1.544,1.539,0.267,1.269,1.211
228,1.252,1.531,1.525,0.279,1.28,1.208
230,1.212,1.504,1.495,0.264,1.274,1.208
232,1.21,1.469,1.464,0.256,1.251,1.149
234,1.152,1.441,1.39,0.267,1.195,1.125
236,1.108,1.362,1.328,0.242,1.134,1.068
238,1.093,1.338,1.312,0.215,1.103,1.044
240,1.144,1.351,1.341,0.181,1.104,1.049
242,1.188,1.38,1.38,0.149,1.111,1.051
244,1.255,1.43,1.444,0.129,1.141,1.079
246,1.362,1.512,1.544,0.099,1.196,1.139
248,1.445,1.576,1.631,0.075,1.241,1.188
250,1.506,1.626,1.691,0.065,1.275,1.221
252,1.629,1.722,1.813,0.047,1.363,1.272
254,1.658,1.757,1.853,0.04,1.389,1.329
256,1.622,1.708,1.815,0.033,1.352,1.309
258,1.489,1.58,1.704,0.027,1.256,1.21
260,1.35,1.436,1.563,0.024,1.133,1.094
262,1.266,1.351,1.472,0.027,1.063,1.033
264,1.199,1.282,1.401,0.022,1.008,0.981
266,1.134,1.207,1.318,0.019,0.953,0.922
268,1.082,1.15,1.259,0.021,0.903,0.883
270,0.974,1.064,1.142,0.011,0.806,0.793
272,0.892,0.954,1.052,0.016,0.742,0.729
274,0.798,0.852,0.947,0.013,0.667,0.661
276,0.691,0.735,0.825,0.011,0.574,0.507
278,0.604,0.644,0.728,0.007,0.496,0.497
280,0.549,0.585,0.666,0.007,0.448,0.449
282,0.523,0.553,0.631,0.002,0.42,0.421
284,0.519,0.544,0.622,0,0.412,0.412
286,0.525,0.55,0.627,-0.002,0.415,0.418
288,0.537,0.561,0.636,-0.004,0.422,0.424
290,0.552,0.574,0.649,-0.004,0.43,0.433
292,0.562,0.582,0.659,-0.005,0.44,0.437
294,0.568,0.588,0.667,-0.008,0.441,0.44
296,0.57,0.59,0.665,-0.012,0.443,0.441
298,0.576,0.595,0.67,-0.011,0.447,0.445
300,0.589,0.602,0.693,-0.012,0.456,0.448
302,0.603,0.617,0.705,-0.017,0.46,0.452
304,0.611,0.625,0.712,-0.015,0.473,0.466
306,0.619,0.631,0.717,-0.016,0.478,0.469
308,0.624,0.637,0.722,-0.015,0.484,0.475
310,0.633,0.647,0.732,-0.017,0.489,0.477
312,0.647,0.658,0.738,-0.017,0.498,0.481
314,0.662,0.676,0.754,-0.015,0.511,0.501
316,0.682,0.695,0.771,-0.019,0.525,0.515
318,0.705,0.72,0.795,-0.015,0.545,0.533
320,0.733,0.747,0.822,-0.018,0.565,0.551
322,0.759,0.774,0.846,-0.017,0.584,0.571
324,0.785,0.801,0.871,-0.016,0.602,0.589
326,0.801,0.818,0.889,-0.016,0.615,0.604
328,0.822,0.842,0.912,-0.016,0.634,0.619
330,0.845,0.863,0.933,-0.017,0.653,0.637
332,0.868,0.89,0.961,-0.017,0.672,0.656
334,0.897,0.918,0.986,-0.016,0.692,0.675
336,0.926,0.948,1.018,-0.016,0.715,0.699
338,0.966,0.99,1.058,-0.016,0.747,0.729
340,1.015,1.04,1.108,-0.016,0.785,0.768
342,1.068,1.094,1.16,-0.014,0.826,0.802
344,1.13,1.162,1.226,-0.015,0.878,0.851
346,1.194,1.228,1.294,-0.014,0.925,0.899
348,1.259,1.292,1.358,-0.015,0.977,0.947
350,1.327,1.363,1.431,-0.014,1.029,0.998
352,1.4,1.438,1.504,-0.013,1.039,1.054
354,1.472,1.51,1.574,-0.013,1.147,1.111
356,1.546,1.592,1.653,-0.012,1.203,1.169
358,1.618,1.666,1.725,-0.012,1.255,1.223
360,1.674,1.718,1.79,-0.013,1.308,1.263
362,1.722,1.773,1.842,-0.012,1.348,1.299
364,1.741,1.793,1.867,-0.012,1.368,1.32
366,1.759,1.808,1.886,-0.015,1.384,1.336
368,1.751,1.801,1.887,-0.014,1.383,1.338
370,1.737,1.79,1.867,-0.014,1.375,1.327
372,1.71,1.763,1.847,-0.015,1.356,1.313
374,1.681,1.735,1.822,-0.016,1.337,1.289
376,1.642,1.694,1.785,-0.016,1.31,1.255
378,1.594,1.647,1.733,-0.016,1.265,1.223
380,1.531,1.58,1.67,-0.016,1.215,1.174
382,1.442,1.489,1.582,-0.016,1.151,1.111
384,1.331,1.374,1.474,-0.016,1.067,1.023
386,1.192,1.232,1.339,-0.016,0.962,0.93
388,1.045,1.079,1.187,-0.016,0.844,0.817
390,0.883,0.914,1.025,-0.016,0.722,0.699
392,0.736,0.764,0.871,-0.016,0.605,0.591
394,0.603,0.628,0.73,-0.016,0.502,0.486
396,0.485,0.506,0.604,-0.016,0.408,0.396
398,0.379,0.395,0.49,-0.016,0.321,0.314
400,0.299,0.303,0.397,-0.017,0.253,0.241
402,0.224,0.224,0.309,-0.018,0.19,0.183
404,0.168,0.168,0.248,-0.017,0.144,0.139
406,0.123,0.12,0.192,-0.018,0.104,0.102
408,0.088,0.082,0.15,-0.019,0.072,0.073
410,0.058,0.053,0.114,-0.018,0.046,0.049
412,0.038,0.032,0.089,-0.018,0.028,0.033
414,0.025,0.017,0.07,-0.018,0.016,0.021
416,0.015,0.007,0.058,-0.018,0.007,0.013
418,0.009,0.002,0.049,-0.018,0.001,0.007
420,0.004,-0.004,0.044,-0.019,0.002,0.003
422,0.002,-0.006,0.041,-0.018,0.005,0
424,0,-0.008,0.038,-0.018,0.007,-0.002
426,-0.002,-0.01,0.036,-0.017,0.009,-0.004
428,-0.004,-0.012,0.035,-0.018,0.009,-0.005
430,-0.005,-0.012,0.033,-0.018,0.01,-0.006
432,-0.006,-0.013,0.031,-0.018,0.011,-0.006
434,-0.007,-0.013,0.03,-0.018,0.012,-0.007
436,-0.007,-0.014,0.029,-0.018,0.012,-0.008
438,-0.008,-0.014,0.028,-0.017,0.013,-0.009
440,-0.008,-0.015,0.027,-0.018,0.014,-0.009
442,-0.008,-0.015,0.027,-0.018,0.013,-0.008
444,-0.009,-0.016,0.026,-0.018,0.013,-0.008
446,-0.01,-0.016,0.025,-0.019,0.013,-0.009
448,-0.01,-0.016,0.024,-0.018,0.014,-0.009
450,-0.011,-0.016,0.024,-0.018,0.014,-0.01
452,-0.011,-0.016,0.023,-0.018,0.014,-0.01
454,-0.012,-0.016,0.023,-0.018,0.014,-0.01
456,-0.011,-0.017,0.023,-0.017,0.014,-0.01
458,-0.011,-0.017,0.022,-0.017,0.014,-0.011
460,-0.012,-0.016,0.02,-0.017,0.015,-0.01
462,-0.012,-0.016,0.02,-0.018,0.015,-0.01
464,-0.012,-0.016,0.019,-0.017,0.015,-0.011
466,-0.012,-0.017,0.019,-0.018,0.015,-0.011
468,-0.014,-0.017,0.018,-0.017,0.016,-0.011
470,-0.014,-0.017,0.017,-0.018,0.016,-0.011
472,-0.013,-0.017,0.017,-0.018,0.016,-0.011
474,-0.013,-0.017,0.017,-0.017,0.015,-0.01
476,-0.014,-0.017,0.016,-0.018,0.016,-0.008
478,-0.014,-0.017,0.015,-0.018,0.015,-0.009
480,-0.014,-0.017,0.015,-0.018,0.016,-0.009
482,-0.015,-0.017,0.015,-0.018,0.016,-0.009
484,-0.015,-0.017,0.014,-0.017,0.016,-0.009
486,-0.015,-0.017,0.014,-0.018,0.016,-0.01
488,-0.015,-0.017,0.014,-0.018,0.017,-0.011
490,-0.015,-0.017,0.013,-0.018,0.017,-0.011
492,-0.015,-0.017,0.013,-0.017,0.016,-0.011
494,-0.015,-0.017,0.013,-0.017,0.016,-0.011
496,-0.015,-0.017,0.012,-0.017,0.016,-0.012
498,-0.015,-0.017,0.012,-0.017,0.016,-0.012
500,-0.015,-0.017,0.012,-0.017,0.016,-0.012
