Lambda,QC,QCOA,QCCALB,OACALB,QOC1,QOC2
200,1.203,1.202,1.198,0.985,1.228,1.288
202,1.332,1.305,1.266,1.05,1.296,1.227
204,1.495,1.425,1.291,1.061,1.439,1.406
206,1.554,1.526,1.42,1.1,1.503,1.42
208,1.634,1.545,1.478,0.977,1.609,1.526
210,1.583,1.637,1.443,0.729,1.594,1.469
212,1.668,1.686,1.405,0.496,1.646,1.494
214,1.653,1.772,1.314,0.374,1.632,1.402
216,1.635,1.735,1.212,0.295,1.649,1.265
218,1.607,1.681,1.152,0.268,1.62,1.16
220,1.555,1.627,1.089,0.259,1.605,1.118
222,1.502,1.638,1.063,0.272,1.575,1.101
224,1.51,1.646,1.025,0.272,1.568,1.074
226,1.471,1.64,1.012,0.276,1.56,1.065
228,1.461,1.661,1,0.295,1.571,1.073
230,1.45,1.665,0.964,0.279,1.535,1.035
232,1.384,1.603,0.939,0.28,1.499,1.047
234,1.351,1.569,0.921,0.293,1.461,0.998
236,1.291,1.5,0.873,0.266,1.397,0.95
238,1.28,1.461,0.857,0.236,1.371,0.919
240,1.325,1.478,0.877,0.21,1.4,0.926
242,1.365,1.502,0.893,0.167,1.42,0.921
244,1.439,1.548,0.934,0.146,1.473,0.945
246,1.544,1.64,1.003,0.114,1.552,0.986
248,1.661,1.708,1.062,0.087,1.625,1.023
250,1.72,1.759,1.104,0.074,1.661,1.05
252,1.82,1.836,1.159,0.057,1.763,1.089
254,1.899,1.882,1.226,0.043,1.808,1.14
256,1.868,1.856,1.207,0.042,1.754,1.118
258,1.739,1.746,1.123,0.034,1.625,1.028
260,1.592,1.572,1.017,0.031,1.472,0.926
262,1.491,1.489,0.959,0.032,1.391,0.872
264,1.41,1.403,0.921,0.029,1.316,0.838
266,1.335,1.328,0.869,0.022,1.246,0.791
268,1.273,1.268,0.829,0.021,1.186,0.756
270,1.149,1.149,0.776,0.017,1.099,0.705
272,1.053,1.052,0.688,0.013,0.977,0.625
274,0.95,0.947,0.624,0.011,0.877,0.565
276,0.821,0.824,0.546,0.01,0.76,0.494
278,0.719,0.717,0.48,0.007,0.663,0.432
280,0.65,0.648,0.439,0.005,0.604,0.394
282,0.611,0.61,0.412,0.002,0.567,0.373
284,0.603,0.602,0.405,-0.001,0.558,0.366
286,0.609,0.606,0.407,-0.002,0.561,0.367
288,0.623,0.618,0.414,-0.006,0.572,0.372
290,0.64,0.634,0.422,-0.007,0.586,0.379
292,0.654,0.644,0.429,-0.011,0.595,0.382
294,0.66,0.652,0.426,-0.01,0.598,0.382
296,0.662,0.653,0.429,-0.011,0.598,0.382
298,0.669,0.66,0.43,-0.009,0.604,0.385
300,0.676,0.671,0.425,-0.008,0.619,0.384
302,0.684,0.686,0.437,-0.011,0.627,0.387
304,0.7,0.697,0.441,-0.011,0.642,0.399
306,0.707,0.703,0.444,-0.01,0.648,0.402
308,0.716,0.709,0.447,-0.013,0.655,0.404
310,0.719,0.72,0.453,-0.011,0.663,0.41
312,0.73,0.731,0.46,-0.011,0.675,0.416
314,0.756,0.751,0.47,-0.011,0.693,0.426
316,0.778,0.771,0.482,-0.011,0.714,0.438
318,0.804,0.797,0.496,-0.011,0.739,0.454
320,0.835,0.826,0.514,-0.01,0.767,0.468
322,0.864,0.855,0.53,-0.011,0.795,0.486
324,0.892,0.883,0.545,-0.011,0.82,0.499
326,0.913,0.904,0.558,-0.008,0.839,0.511
328,0.936,0.927,0.572,-0.008,0.861,0.524
330,0.964,0.954,0.587,-0.011,0.887,0.538
332,0.992,0.983,0.604,-0.01,0.913,0.552
334,1.021,1.01,0.62,-0.008,0.939,0.569
336,1.056,1.048,0.638,-0.011,0.972,0.589
338,1.099,1.091,0.667,-0.009,1.015,0.611
340,1.155,1.146,0.698,-0.008,1.065,0.643
342,1.213,1.202,0.733,-0.011,1.12,0.673
344,1.284,1.274,0.774,-0.01,1.188,0.714
346,1.357,1.345,0.815,-0.011,1.253,0.752
348,1.43,1.418,0.858,-0.011,1.325,0.793
350,1.499,1.492,0.903,-0.01,1.392,0.833
352,1.584,1.575,0.952,-0.011,1.469,0.879
354,1.66,1.652,0.999,-0.009,1.543,0.923
356,1.748,1.739,1.049,-0.007,1.627,0.97
358,1.828,1.811,1.099,-0.005,1.697,1.016
360,1.896,1.882,1.135,-0.006,1.757,1.048
362,1.945,1.942,1.169,-0.005,1.808,1.077
364,1.979,1.959,1.186,-0.004,1.836,1.093
366,1.995,1.98,1.202,-0.006,1.841,1.107
368,1.984,1.977,1.199,-0.006,1.846,1.103
370,1.969,1.961,1.192,-0.006,1.825,1.097
372,1.946,1.938,1.177,-0.007,1.805,1.08
374,1.917,1.904,1.159,-0.006,1.774,1.062
376,1.871,1.877,1.134,-0.007,1.736,1.038
378,1.823,1.819,1.095,-0.007,1.683,1.003
380,1.749,1.751,1.054,-0.007,1.618,0.963
382,1.657,1.656,0.997,-0.008,1.526,0.907
384,1.535,1.537,0.926,-0.009,1.408,0.839
386,1.386,1.382,0.835,-0.01,1.268,0.755
388,1.217,1.221,0.737,-0.011,1.113,0.661
390,1.037,1.037,0.636,-0.011,0.94,0.564
392,0.872,0.876,0.539,-0.013,0.79,0.474
394,0.719,0.725,0.448,-0.014,0.651,0.393
396,0.585,0.587,0.366,-0.014,0.528,0.32
398,0.464,0.469,0.293,-0.014,0.419,0.255
400,0.361,0.364,0.232,-0.014,0.331,0.179
402,0.273,0.274,0.179,-0.014,0.254,0.134
404,0.206,0.208,0.138,-0.014,0.192,0.101
406,0.149,0.152,0.106,-0.014,0.141,0.073
408,0.106,0.108,0.08,-0.014,0.102,0.051
410,0.07,0.07,0.058,-0.014,0.069,0.034
412,0.045,0.046,0.044,-0.014,0.046,0.023
414,0.028,0.027,0.032,-0.014,0.029,0.013
416,0.016,0.015,0.026,-0.014,0.018,0.007
418,0.008,0.007,0.021,-0.014,0.01,0.005
420,0.004,0.002,0.017,-0.014,0.005,0.001
422,0,-0.001,0.015,-0.014,0.002,0.001
424,-0.002,-0.004,0.013,-0.014,0,0.001
426,-0.004,-0.006,0.012,-0.014,-0.002,-0.002
428,-0.005,-0.006,0.012,-0.014,-0.004,-0.003
430,-0.006,-0.008,0.011,-0.014,-0.005,-0.004
432,-0.008,-0.009,0.009,-0.014,-0.008,-0.005
434,-0.008,-0.01,0.009,-0.014,-0.008,-0.005
436,-0.009,-0.011,0.008,-0.014,-0.009,-0.005
438,-0.01,-0.012,0.007,-0.014,-0.009,-0.006
440,-0.01,-0.012,0.006,-0.014,-0.01,-0.006
442,-0.01,-0.012,0.006,-0.014,-0.011,-0.006
444,-0.011,-0.013,0.005,-0.014,-0.011,-0.007
446,-0.011,-0.013,0.005,-0.014,-0.012,-0.007
448,-0.012,-0.013,0.005,-0.014,-0.012,-0.007
450,-0.011,-0.013,0.004,-0.014,-0.012,-0.008
452,-0.011,-0.013,0.004,-0.014,-0.013,-0.008
454,-0.012,-0.013,0.003,-0.014,-0.013,-0.008
456,-0.013,-0.014,0.003,-0.014,-0.014,-0.008
458,-0.012,-0.014,0.002,-0.014,-0.014,-0.009
460,-0.013,-0.015,0.002,-0.014,-0.013,-0.009
462,-0.013,-0.014,0.002,-0.014,-0.014,-0.009
464,-0.014,-0.015,0.001,-0.014,-0.015,-0.009
466,-0.015,-0.015,0.001,-0.014,-0.015,-0.01
468,-0.015,-0.015,0.001,-0.014,-0.015,-0.01
470,-0.015,-0.016,0.001,-0.014,-0.014,-0.01
472,-0.015,-0.015,0.001,-0.014,-0.015,-0.01
474,-0.016,-0.015,0.002,-0.014,-0.016,-0.01
476,-0.016,-0.015,0.001,-0.014,-0.015,-0.011
478,-0.016,-0.015,0.002,-0.014,-0.016,-0.011
480,-0.016,-0.015,0.002,-0.014,-0.016,-0.011
482,-0.016,-0.015,0.002,-0.014,-0.015,-0.011
484,-0.016,-0.015,0.002,-0.014,-0.016,-0.011
486,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
488,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
490,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
492,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
494,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
496,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
498,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
500,-0.016,-0.015,0.002,-0.014,-0.016,-0.012
