ABS,120hQC,120hQCOA,120hQCCALB,120hOACALB,120hS1,120hS2
650.420453,-0.030816,-0.001372,-0.000018,-0.010644,-0.013038,-0.000898
652.284122,-0.012901,0.006471,0.002276,-0.002903,-0.001087,0.002797
654.14779,-0.008253,0.000818,-0.002901,-0.000714,0.002559,0.003822
656.011459,-0.001971,0.014584,0.007892,0.01844,0.016519,0.022861
657.875128,-0.008911,0.016351,0.006017,0.016835,0.010769,0.021088
659.738797,0.01474,0.040383,0.029357,0.032346,0.030919,0.039354
661.602466,0.016728,0.044694,0.025882,0.033948,0.031497,0.043488
663.466135,0.03,0.058009,0.03344,0.051182,0.04678,0.060509
665.329804,0.054248,0.084356,0.060503,0.074194,0.076067,0.082873
667.193473,0.056717,0.090767,0.069978,0.085085,0.087552,0.086873
669.057142,0.059013,0.089058,0.069095,0.09021,0.093006,0.096268
670.920811,0.04508,0.075517,0.050853,0.069091,0.074181,0.07985
672.78448,0.032275,0.066313,0.038382,0.059856,0.062414,0.065743
674.648149,0.031444,0.065549,0.039139,0.062643,0.062968,0.065567
676.511817,0.027566,0.064426,0.037333,0.059164,0.059789,0.063768
678.375486,0.026391,0.066102,0.03414,0.058775,0.059985,0.063817
680.239155,0.026547,0.065419,0.031689,0.058343,0.059145,0.065408
682.102824,0.024603,0.064607,0.032784,0.059505,0.058331,0.066926
683.966493,0.016947,0.057576,0.02582,0.054762,0.05391,0.060266
685.830162,0.015689,0.054776,0.020703,0.05104,0.051701,0.056687
687.693831,0.021185,0.059169,0.022808,0.052458,0.05321,0.059172
689.5575,0.018629,0.05847,0.020031,0.049256,0.050887,0.05802
691.421169,0.022275,0.062316,0.02449,0.056812,0.058699,0.065508
693.284838,0.012548,0.051073,0.014587,0.050497,0.052785,0.055083
695.148507,0.00779,0.04629,0.01041,0.046064,0.048767,0.051496
697.012176,0.013012,0.05146,0.016533,0.050477,0.051452,0.059308
698.875844,0.013953,0.051818,0.014159,0.049139,0.048726,0.058513
