Lambda,QCCALBOA,QCCALBOA,QCTLIMOA,QCTLIMOA,QCCALB,QCTLIM
200,1.274,1.218,1.296,1.233,1.248,1.32
202,1.328,1.309,1.271,1.314,1.473,1.396
204,1.388,1.468,1.429,1.459,1.409,1.499
206,1.591,1.484,1.492,1.419,1.547,1.486
208,1.565,1.525,1.502,1.533,1.609,1.596
210,1.577,1.619,1.574,1.609,1.554,1.635
212,1.686,1.608,1.64,1.668,1.769,1.709
214,1.77,1.641,1.803,1.726,1.772,1.841
216,1.798,1.69,1.785,1.711,1.842,1.904
218,1.819,1.738,1.738,1.765,1.932,1.975
220,1.933,1.734,1.772,1.827,2.039,2.067
222,1.905,1.785,1.831,1.835,1.991,2.062
224,2.085,1.836,1.821,1.902,2.01,2.243
226,2.155,1.859,1.886,1.957,2.24,2.305
228,2.319,1.938,1.98,2.003,2.4,2.413
230,2.28,1.908,1.971,2,2.354,2.519
232,2.286,1.865,1.936,1.968,2.331,2.44
234,2.188,1.803,1.884,1.934,2.258,2.352
236,2.098,1.717,1.778,1.814,2.183,2.255
238,2.027,1.653,1.713,1.731,2.149,2.239
240,2.058,1.602,1.68,1.702,2.206,2.341
242,2.032,1.583,1.625,1.664,2.347,2.379
244,2.057,1.586,1.605,1.658,2.462,2.498
246,2.115,1.593,1.594,1.652,2.63,2.661
248,2.148,1.606,1.589,1.652,2.707,2.708
250,2.158,1.619,1.592,1.669,2.746,2.726
252,2.224,1.686,1.65,1.685,2.726,2.883
254,2.223,1.707,1.648,1.734,2.799,2.72
256,2.158,1.663,1.594,1.688,2.69,2.621
258,2.045,1.547,1.486,1.557,2.665,2.701
260,1.887,1.404,1.346,1.42,2.556,2.608
262,1.759,1.333,1.273,1.349,2.505,2.592
264,1.661,1.276,1.215,1.289,2.381,2.424
266,1.575,1.204,1.158,1.218,2.242,2.282
268,1.476,1.163,1.116,1.169,2.12,2.26
270,1.332,1.054,1.009,1.064,1.949,2.063
272,1.211,0.974,0.932,0.983,1.798,1.911
274,1.069,0.801,0.845,0.892,1.623,1.718
276,0.919,0.775,0.741,0.782,1.603,1.5
278,0.808,0.686,0.656,0.69,1.605,1.318
280,0.733,0.625,0.598,0.628,,1.202
282,0.695,0.584,0.56,0.587,,1.133
284,0.679,0.569,0.548,0.574,,1.118
286,0.671,0.565,0.544,0.57,,1.131
288,0.661,0.566,0.547,0.575,,1.157
290,0.667,0.568,0.55,0.579,,1.188
292,0.663,0.571,0.552,0.583,1.798,1.21
294,0.642,0.572,0.554,0.583,1.623,1.229
296,0.584,0.57,0.553,0.579,1.403,1.236
298,0.561,0.568,0.55,0.592,1.229,1.248
300,0.781,0.57,0.574,0.587,2.984,1.281
302,0.788,0.581,0.584,0.6,2.968,1.308
304,0.801,0.586,0.588,0.606,2.961,1.322
306,0.809,0.589,0.592,0.609,2.88,1.339
308,0.815,0.595,0.597,0.616,,1.352
310,0.825,0.602,0.598,0.622,,1.372
312,0.84,0.61,0.614,0.633,,1.384
314,0.86,0.628,0.629,0.649,,1.432
316,0.883,0.646,0.647,0.667,2.995,1.47
318,0.912,0.667,0.667,0.689,,1.521
320,0.945,0.69,0.693,0.714,2.96,1.576
322,0.977,0.716,0.715,0.741,,1.628
324,1.009,0.739,0.74,0.766,,1.684
326,1.031,0.754,0.757,0.781,2.961,1.715
328,1.059,0.774,0.775,0.802,2.981,1.764
330,1.085,0.796,0.795,0.825,2.997,1.816
332,1.12,0.821,0.818,0.848,,1.856
334,1.149,0.844,0.841,0.872,,1.91
336,1.188,0.874,0.87,0.901,,1.982
338,1.241,0.91,0.905,0.94,,2.043
340,1.298,0.953,0.949,0.983,,2.136
342,1.365,1.003,0.998,1.037,,2.227
344,1.441,1.063,1.059,1.097,,2.355
346,1.527,1.123,1.119,1.162,,2.464
348,1.607,1.183,1.18,1.223,,2.532
350,1.688,1.248,1.244,1.287,,2.631
352,1.778,1.315,1.313,1.359,,2.739
354,1.869,1.382,1.379,1.427,,2.739
356,1.955,1.457,1.447,1.503,,2.842
358,2.042,1.522,1.515,1.57,,2.937
360,2.114,1.576,1.573,1.625,,
362,2.176,1.622,1.617,1.676,,
364,2.201,1.647,1.639,1.699,,2.985
366,2.21,1.661,1.654,1.714,,2.995
368,2.189,1.656,1.652,1.71,2.96,2.993
370,2.183,1.641,1.639,1.697,,2.881
372,2.169,1.621,1.617,1.677,2.962,2.838
374,2.128,1.594,1.592,1.647,,2.874
376,2.079,1.561,1.556,1.613,2.978,2.92
378,2.026,1.508,1.507,1.562,,2.85
380,1.944,1.451,1.448,1.5,2.986,2.803
382,1.836,1.37,1.367,1.416,2.936,2.71
384,1.7,1.265,1.263,1.308,2.965,2.609
386,1.539,1.138,1.141,1.179,2.974,2.435
388,1.345,0.997,0.997,1.032,,2.182
390,1.135,0.844,0.843,0.871,2.947,1.828
392,0.949,0.7,0.706,0.73,2.896,1.526
394,0.779,0.577,0.578,0.597,2.808,1.276
396,0.626,0.462,0.464,0.477,2.464,1.049
398,0.487,0.36,0.362,0.376,2.064,0.834
400,0.385,0.245,0.285,0.282,1.673,0.644
402,0.289,0.181,0.212,0.208,1.294,0.485
404,0.216,0.132,0.158,0.154,0.997,0.368
406,0.157,0.093,0.112,0.107,0.743,0.267
408,0.108,0.059,0.077,0.073,0.538,0.189
410,0.07,0.035,0.049,0.046,0.373,0.127
412,0.043,0.019,0.028,0.024,0.251,0.083
414,0.026,0.005,0.014,0.01,0.167,0.051
416,0.013,0,0.006,0.002,0.108,0.03
418,0.005,-0.007,0,-0.004,0.073,0.018
420,-0.001,-0.008,-0.005,-0.008,0.05,0.008
422,-0.004,-0.011,-0.007,-0.01,0.035,0.003
424,-0.006,-0.013,-0.008,-0.012,0.025,-0.001
426,-0.008,-0.014,-0.01,-0.013,0.017,-0.004
428,-0.009,-0.014,-0.01,-0.013,0.012,-0.005
430,-0.01,-0.015,-0.013,-0.012,0.008,-0.007
432,-0.011,-0.015,-0.013,-0.013,0.002,-0.01
434,-0.012,-0.015,-0.014,-0.013,0,-0.01
436,-0.013,-0.016,-0.014,-0.013,0.004,-0.012
438,-0.013,-0.017,-0.015,-0.014,-0.005,-0.012
440,-0.014,-0.017,-0.015,-0.014,-0.007,-0.013
442,-0.014,-0.017,-0.016,-0.015,-0.008,-0.013
444,-0.015,-0.018,-0.016,-0.015,-0.009,-0.013
446,-0.015,-0.017,-0.016,-0.015,-0.01,-0.014
448,-0.015,-0.017,-0.016,-0.015,-0.01,-0.014
450,-0.016,-0.017,-0.016,-0.015,-0.011,-0.015
452,-0.015,-0.017,-0.016,-0.015,-0.011,-0.014
454,-0.016,-0.017,-0.016,-0.015,-0.012,-0.014
456,-0.016,-0.018,-0.016,-0.014,-0.013,-0.015
458,-0.016,-0.018,-0.016,-0.014,-0.013,-0.015
460,-0.017,-0.018,-0.017,-0.014,-0.013,-0.015
462,-0.017,-0.018,-0.017,-0.015,-0.014,-0.015
464,-0.017,-0.017,-0.016,-0.014,-0.013,-0.015
466,-0.018,-0.017,-0.017,-0.015,-0.014,-0.015
468,-0.017,-0.017,-0.017,-0.015,-0.013,-0.015
470,-0.017,-0.017,-0.017,-0.016,-0.014,-0.015
472,-0.017,-0.018,-0.017,-0.013,-0.014,-0.015
474,-0.017,-0.018,-0.016,-0.016,-0.014,-0.015
476,-0.018,-0.018,-0.017,-0.016,-0.014,-0.015
478,-0.017,-0.018,-0.018,-0.016,-0.014,-0.015
480,-0.018,-0.018,-0.017,-0.016,-0.014,-0.015
482,-0.017,-0.018,-0.017,-0.016,-0.014,-0.015
484,-0.018,-0.018,-0.017,-0.016,-0.014,-0.015
486,-0.017,-0.018,-0.017,-0.016,-0.014,-0.015
488,-0.017,-0.018,-0.017,-0.016,-0.014,-0.015
490,-0.017,-0.018,-0.018,-0.017,-0.014,-0.015
492,-0.018,-0.018,-0.018,-0.017,-0.014,-0.015
494,-0.017,-0.018,-0.018,-0.017,-0.014,-0.015
496,-0.017,-0.018,-0.018,-0.017,-0.014,-0.015
498,-0.017,-0.018,-0.018,-0.017,-0.014,-0.015
500,-0.017,-0.018,-0.018,-0.017,-0.014,-0.015
